fecha,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
"2018-01-29 00:00:00","CARTAGENA","MURCIA","17","13.1","0","10.7","2018-01-29 23:59:00","15.5","2018-01-29 13:40:00","6","2.2","9.2","2018-01-29 12:50:00"
"2018-01-29 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.5","0","10.8","2018-01-29 23:42:00","16.2","2018-01-29 12:45:00","3","7.5","12.5","2018-01-29 00:00:00"
"2018-01-30 00:00:00","CARTAGENA","MURCIA","17","12.6","0","9.6","2018-01-30 06:30:00","15.5","2018-01-30 12:40:00","99","1.7","6.9","2018-01-30 00:00:00"
"2018-01-30 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13","0","10","2018-01-30 03:56:00","16","2018-01-30 12:55:00","2","5.8","9.7","2018-01-30 13:14:00"
"2018-01-31 00:00:00","CARTAGENA","MURCIA","17","12.2","0","9","2018-01-31 07:40:00","15.3","2018-01-31 13:40:00","7","1.1","6.4","2018-01-31 14:10:00"
"2018-02-01 00:00:00","CARTAGENA","MURCIA","17","12.6","8.7","9.7","2018-02-01 23:59:00","15.5","2018-02-01 14:00:00","20","2.2","8.3","2018-02-01 14:50:00"
"2018-02-01 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.1","10.5","6.9","2018-02-01 07:04:00","19.3","2018-02-01 13:39:00","35","2.2","10.8","2018-02-01 23:09:00"
"2018-02-02 00:00:00","CARTAGENA","MURCIA","17","9.2","0.1","6.9","2018-02-02 04:30:00","11.6","2018-02-02 17:10:00","34","2.5","11.7","2018-02-02 11:30:00"
"2018-02-02 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","6.8","4.2","4.4","2018-02-02 23:34:00","9.2","2018-02-02 00:00:00","32","3.9","14.4","2018-02-02 10:13:00"
"2018-02-03 00:00:00","CARTAGENA","MURCIA","17","11.6","0","7.7","2018-02-03 02:30:00","15.4","2018-02-03 15:30:00","31","2.2","12.2","2018-02-03 10:10:00"
"2018-02-03 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","10","0","4.5","2018-02-03 22:11:00","15.4","2018-02-03 14:50:00","32","6.7","15","2018-02-03 11:47:00"
"2018-02-04 00:00:00","CARTAGENA","MURCIA","17","10.2","2.9","6.9","2018-02-04 08:00:00","13.5","2018-02-04 16:00:00","17","0.8","7.5","2018-02-04 23:59:00"
"2018-02-04 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8.4","6.6","3","2018-02-04 04:31:00","13.9","2018-02-04 13:50:00","14","0.6","7.8","2018-02-04 18:54:00"
"2018-02-05 00:00:00","CARTAGENA","MURCIA","17","10.6","0","8.2","2018-02-05 07:20:00","12.9","2018-02-05 12:00:00","25","0.6","9.2","2018-02-05 03:10:00"
"2018-02-05 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9.8","0","6.1","2018-02-05 07:14:00","13.6","2018-02-05 11:39:00","23","1.1","6.1","2018-02-05 02:36:00"
"2018-02-06 00:00:00","CARTAGENA","MURCIA","17","10","0","6.4","2018-02-06 07:20:00","13.7","2018-02-06 14:50:00","36","1.7","7.5","2018-02-06 12:30:00"
"2018-02-06 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9.4","0","5.5","2018-02-06 07:12:00","13.4","2018-02-06 13:12:00","32","4.7","12.8","2018-02-06 19:15:00"
"2018-02-07 00:00:00","CARTAGENA","MURCIA","17","9.4","0","5.8","2018-02-07 06:00:00","12.9","2018-02-07 13:00:00","34","1.4","5.6","2018-02-07 01:20:00"
"2018-02-07 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8.2","0","3","2018-02-07 23:57:00","13.4","2018-02-07 12:29:00","99","3.3","8.9","2018-02-07 00:00:00"
"2018-02-08 00:00:00","CARTAGENA","MURCIA","17","9.4","0","5.5","2018-02-08 07:30:00","13.3","2018-02-08 12:50:00","99","1.1","5.8","2018-02-08 22:50:00"
"2018-02-08 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","8","0","2.9","2018-02-08 00:05:00","13.1","2018-02-08 12:52:00","99","2.8","8.9","2018-02-08 00:00:00"
"2018-02-09 00:00:00","CARTAGENA","MURCIA","17","10","0","5.5","2018-02-09 07:50:00","14.4","2018-02-09 15:50:00","30","2.2","8.3","2018-02-09 11:40:00"
"2018-02-09 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9.4","0","4.4","2018-02-09 01:43:00","14.3","2018-02-09 14:24:00","99","4.2","10.3","2018-02-09 00:00:00"
"2018-02-10 00:00:00","CARTAGENA","MURCIA","17","11.8","0","8.6","2018-02-10 05:30:00","14.9","2018-02-10 14:00:00","34","2.8","11.7","2018-02-10 10:50:00"
"2018-02-10 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","9.6","0","3.7","2018-02-10 23:55:00","15.6","2018-02-10 15:11:00","35","4.7","14.4","2018-02-10 16:25:00"
"2018-02-11 00:00:00","CARTAGENA","MURCIA","17","11","0","6.5","2018-02-11 07:20:00","15.5","2018-02-11 14:00:00","24","2.5","10.8","2018-02-11 16:00:00"
"2018-02-11 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","10.9","0","2.6","2018-02-11 06:45:00","19.2","2018-02-11 12:55:00","22","4.7","11.4","2018-02-11 16:08:00"
"2018-02-12 00:00:00","CARTAGENA","MURCIA","17","13.5","0.8","9.5","2018-02-12 06:30:00","17.5","2018-02-12 10:30:00","31","1.1","8.9","2018-02-12 16:20:00"
"2018-02-12 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11.6","0.6","6.5","2018-02-12 22:43:00","16.7","2018-02-12 10:36:00","2","1.4","10.3","2018-02-12 16:29:00"
"2018-02-13 00:00:00","CARTAGENA","MURCIA","17","10.9","0","7.6","2018-02-13 07:40:00","14.2","2018-02-13 14:40:00","24","1.4","10","2018-02-13 16:50:00"
"2018-02-13 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","10.3","0","3.9","2018-02-13 07:03:00","16.7","2018-02-13 14:12:00","34","4.4","10.3","2018-02-13 04:02:00"
"2018-02-14 00:00:00","CARTAGENA","MURCIA","17","13.1","0","8.5","2018-02-14 07:50:00","17.7","2018-02-14 12:10:00","32","1.7","6.9","2018-02-14 00:20:00"
"2018-02-14 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.2","0","5.7","2018-02-14 07:24:00","20.6","2018-02-14 14:22:00","17","3.1","8.9","2018-02-14 14:59:00"
"2018-02-15 00:00:00","CARTAGENA","MURCIA","17","14.4","0","9.3","2018-02-15 04:50:00","19.4","2018-02-15 11:00:00","19","2.8","8.6","2018-02-15 14:10:00"
